Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Douglas,00770000,Public School District,Superintendent,Nancy Lane,21 Davis Street,,Douglas,MA,01516,508-476-7901,508-476-3719,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dover,00780000,Public School District,Superintendent,Steven Bliss,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"K,01,02,03,04,05"
Dover-Sherborn,06550000,Public School District,Superintendent,Steven Bliss,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"06,07,08,09,10,11,12"
Dracut,00790000,Public School District,Superintendent,Steven Stone,2063 Lakeview Avenue,,Dracut,MA,01826,978-957-2660,978-957-2682,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dudley (non-op),00800000,Public School District,Superintendent,Sean Gilrein,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,NA
Dudley Street Neighborhood Charter School (District),04070000,Charter District,Charter School Leader,Christine Landry,6 Shirley Street,,Boston,MA,02119,617-635-8507,617-635-6320,"PK,K,01,02"
Dudley-Charlton Reg,06580000,Public School District,Superintendent,Sean Gilrein,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dunstable (non-op),00810000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,01450,978-448-5505,978-448-9402,NA
Duxbury,00820000,Public School District,Superintendent,Benedict Tantillo,130 St. George Street,,Duxbury,MA,02332,781-934-7600,781-934-7644,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Bridgewater,00830000,Public School District,Superintendent,John Moretti,143 Plymouth Street,,East Bridgewater,MA,02333,508-378-8200,508-378-8225,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Brookfield (non-op),00840000,Public School District,Superintendent,Edward Malvey,306 Main Street,,Spencer,MA,01562,508-885-8500,508-885-8504,NA
East Longmeadow,00870000,Public School District,Superintendent,Gordon Smith,180 Maple Street,,East Longmeadow,MA,01028,413-525-5450,413-525-5456,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Eastham,00850000,Public School District,Superintendent,Richard Hoffmann,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Easthampton,00860000,Public School District,Superintendent,Nancy Follansbee,50 Payson Avenue,Second Floor,Easthampton,MA,01027,413-529-1500,413-529-1567,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Easton,00880000,Public School District,Superintendent,Michael Green,PO Box 359,,North Easton,MA,02356,508-230-3200,508-238-3563,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Edgartown,00890000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,Charter District,Charter School Leader,Caren Walker Gregory,360 Huntington Avenue,c/o 102 Cahners Hall,Boston,MA,02115,617-373-8576,617-373-7850,"09,10,11,12"
Egremont (non-op),00900000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,01257,413-229-8778,413-229-2913,NA
Erving,00910000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,01344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Essex (non-op),00920000,Public School District,Superintendent,Marcia O'Neil,36 Lincoln Street,P. O. Box 1407,Manchester,MA,01944,978-526-4919,--,NA
Essex Agricultural Technical,09130000,Public School District,Superintendent,Joy White,PO BOX 362,,Hathorne,MA,01937,978-774-0050,978-774-6530,"09,10,11,12"
Everett,00930000,Public School District,Superintendent,Frederick Foresteire,121 Vine Street,,Everett,MA,02149,617-389-7950,617-394-2408,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Excel Academy Charter (District),04100000,Charter District,Charter School Leader,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-516-1603,"05,06,07,08"
Excel Academy Charter School - Boston II (District),04590000,Charter District,Charter School Leader,Owen Stearns,1150 Saratoga Street,,East Boston,MA,02128,617-561-1371,617-963-7162,"05,06"
Excel Academy Charter School - Chelsea (District),04610000,Charter District,Charter School Leader,Owen Stearns,180 Second Street,,Chelsea,MA,02150,617-336-9970,617-516-9676,"05,06,07"
Fairhaven,00940000,Public School District,Superintendent,Robert Baldwin,128 Washington Street,,Fairhaven,MA,02719,508-979-4000,508-979-4149,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Fall River,00950000,Public School District,Superintendent,Margery Mayo-Brown,417 Rock Street,,Fall River,MA,02720,508-675-8420,508-675-8462,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Falmouth,00960000,Public School District,Superintendent,Bonny Gifford,340 Teaticket Hwy,,East Falmouth,MA,02536,508-548-0151,508-457-9032,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Farmington River Reg,06620000,Public School District,Superintendent,Joanne Austin,555 N Main Street,PO Box 679,Otis,MA,01253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg,00970000,Public School District,Superintendent,Andre Ravenelle,376 South Street,,Fitchburg,MA,01420,978-345-3200,978-348-2305,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Florida,00980000,Public School District,Superintendent,Jon Lev,56 North County Rd,,Florida,MA,01247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District),04130000,Charter District,Charter School Leader,Peter Garbus,248 Colrain Road,,Greenfield,MA,01301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough,00990000,Public School District,Superintendent,Debra Spinelli,60 South Street,C/O Igo Administration Building,Foxborough,MA,02035,508-543-1660,508-543-4793,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Foxborough Regional Charter (District),04460000,Charter District,Charter School Leader,Mark Logan,131 Central Street,,Foxborough,MA,02035,508-543-2508,508-543-7982,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Framingham,01000000,Public School District,Superintendent,Stacy Scott,454 Water Street,Office of the Superintendent,Framingham,MA,01701,508-626-9117,508-877-4240,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Francis W. Parker Charter Essential (District),04780000,Charter District,Charter School Leader,Todd Sumner,49 Antietam Street,,Devens,MA,01434,978-772-3293,978-772-3295,"07,08,09,10,11,12"
Franklin,01010000,Public School District,Superintendent,Maureen Sabolinski,355 East Central Street,,Franklin,MA,02038,508-541-5243,508-553-0321,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Franklin County Regional Vocational Technical,08180000,Public School District,Superintendent,James Laverty,82 Industrial Blvd,,Turners Falls,MA,01376,413-863-4239,413-863-2816,"09,10,11,12"
Freetown (non-op),01020000,Public School District,Superintendent,John McCarthy,98 Howland Rd,,Lakeville,MA,02347,508-923-2000,508-923-0934,NA
Freetown-Lakeville,06650000,Public School District,Superintendent,Kristine Nash,98 Howland Rd,,Lakeville,MA,02347,508-923-2000,508-923-0934,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Frontier,06700000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,01373,413-665-1155,413-665-8506,"07,08,09,10,11,12"
Gardner,01030000,Public School District,Superintendent,Carol Daring,70 Waterford Street,,Gardner,MA,01440,978-632-1000,978-632-1164,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Gateway,06720000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1000,413-667-8739,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Georgetown,01050000,Public School District,Superintendent,Carol Jacobs,51 North Street,,Georgetown,MA,01833,978-352-5777,978-352-5778,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Gill (non-op),01060000,Public School District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,01376,413-863-9324,413-863-4560,NA
Gill-Montague,06740000,Public School District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,01376,413-863-9324,413-863-4560,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Global Learning Charter Public (District),04960000,Charter District,Charter School Leader,Stephen Furtado,190 Ashley Boulevard,,New Bedford,MA,02746,508-991-4105,508-991-4110,"05,06,07,08,09,10,11,12"
Gloucester,01070000,Public School District,Superintendent,Richard Safier,6 School House Rd,,Gloucester,MA,01930,978-281-9800,978-281-9899,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Goshen (non-op),01080000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497,NA
Gosnold,01090000,Public School District,Superintendent,Russell Latham,16 Williams Street,,Rehoboth,MA,02769,508-252-4272,508-252-4272,"03,04"
Grafton,01100000,Public School District,Superintendent,James Cummings,30 Providence Rd,,Grafton,MA,01519,508-839-5421,508-839-7618,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Granby,01110000,Public School District,Superintendent,Isabelina Rodriguez,387 East State Street,,Granby,MA,01033,413-467-7193,413-467-3909,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Granville (Non-op),01120000,Public School District,Superintendent,John Barry,86 Powder Mill Road,,Southwick,MA,01077,413-569-5391,413-569-1711,NA
Great Barrington (non-op),01130000,Public School District,Superintendent,Peter Dillon,207 Pleasant Street,PO Box 596,Housatonic,MA,01236,413-274-6400,--,NA
Greater Fall River Regional Vocational Technical,08210000,Public School District,Superintendent,Marta Montleon,251 Stonehaven Rd,,Fall River,MA,02723,508-678-2891,508-679-6423,"09,10,11,12"
Greater Lawrence Regional Vocational Technical,08230000,Public School District,Superintendent,John Lavoie,57 River Rd,,Andover,MA,01810,978-686-0194,978-687-6209,"09,10,11,12"
Greater Lowell Regional Vocational Technical,08280000,Public School District,Superintendent,Roger Bourgeois,250 Pawtucket Blvd,,Tyngsborough,MA,01879,978-441-4800,978-441-5353,"09,10,11,12"
Greater New Bedford Regional Vocational Technical,08250000,Public School District,Superintendent,Linda Enos,1121 Ashley Blvd,,New Bedford,MA,02745,508-998-3321,508-995-7268,"09,10,11,12"
Greenfield,01140000,Public School District,Superintendent,Susan Hollins,141 Davis Street,,Greenfield,MA,01301,413-772-1311,413-774-7940,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Groton (non-op),01150000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,01450,978-448-5505,978-448-9402,NA
Groton-Dunstable,06730000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,01450,978-448-5505,978-448-9402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Groveland (non-op),01160000,Public School District,Superintendent,Jeffrey Mulqueen,22 Main Street,,West Newbury,MA,01985,617-363-2280,--,NA
Hadley,01170000,Public School District,Superintendent,Donna Moyer,125 Russell Street,,Hadley,MA,01035,413-586-0822,413-582-6453,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Halifax,01180000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,02364,781-585-4313,781-585-2994,"K,01,02,03,04,05,06"
Hamilton (non-op),01190000,Public School District,Superintendent,Michael Harvey,5 School Street,,Wenham,MA,01984,978-468-5310,978-468-7889,NA
Hamilton-Wenham,06750000,Public School District,Superintendent,Michael Harvey,5 School Street,,Wenham,MA,01984,978-468-5310,978-468-7889,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hampden (non-op),01200000,Public School District,Superintendent,Maurice O'Shea,621 Main Street,,Wilbraham,MA,01095,413-596-3884,413-599-1328,NA
Hampden Charter School of Science (District),04990000,Charter District,Charter School Leader,Harun Celik,20 Johnson Road,,Chicopee,MA,01022,413-593-9090,413-294-2648,"06,07,08,09,10,11,12"
Hampden-Wilbraham,06800000,Public School District,Superintendent,Maurice O'Shea,621 Main Street,,Wilbraham,MA,01095,413-596-3884,413-599-1328,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hampshire,06830000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497,"07,08,09,10,11,12"
Hancock,01210000,Public School District,Superintendent,Barbara Ripa,1831 STATE ROAD,,RICHMOND,MA,01254,413-698-4001,413-698-4003,"PK,K,01,02,03,04,05,06"
Hanover,01220000,Public School District,Superintendent,Matthew Ferron,188 Broadway Street,,Hanover,MA,02339,781-878-0786,781-871-3374,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hanson (non-op),01230000,Public School District,Superintendent,Ruth Gilbert-Whitner,610 Franklin Street,,Whitman,MA,02382,781-618-7412,781-618-7498,NA
Hardwick (non-op),01240000,Public School District,Superintendent,Maureen Marshall,PO Box 667,,Barre,MA,01005,978-355-4668,--,NA
Harvard,01250000,Public School District,Superintendent,Joseph Connelly,39 Massachusetts Avenue,,Harvard,MA,01451,978-456-4140,978-456-8592,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Harwich (Non-op),01260000,Public School District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,02633,508-945-5130,508-945-5133,NA
Hatfield,01270000,Public School District,Superintendent,John Robert,34 School Street,,Hatfield,MA,01038,413-247-5641,413-247-0201,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Haverhill,01280000,Public School District,Superintendent,James Scully,4 Summer Street,,Haverhill,MA,01830,978-374-3405,978-373-1535,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hawlemont,06850000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,"PK,K,01,02,03,04,05,06"
Hawley (non-op),01290000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Heath (non-op),01300000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Hill View Montessori Charter Public (District),04550000,Charter District,Charter School Leader,Jeanne Schultz,75 Foundation Ave,Ward Hill Business Park,Haverhill,MA,01835,978-521-2616,978-521-2656,"K,01,02,03,04,05,06,07,08"
Hilltown Cooperative Charter Public (District),04500000,Charter District,Charter School Leader,Amy Aaron,132 Main Street,Box 147,Haydenville,MA,01039,413-268-3421,413-268-3185,"K,01,02,03,04,05,06,07,08"
Hingham,01310000,Public School District,Superintendent,Dorothy Galo,220 Central Street,,Hingham,MA,02043,781-741-1500,781-749-7457,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hinsdale (non-op),01320000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Holbrook,01330000,Public School District,Superintendent,Patricia Lally,245 So. Franklin Street,,Holbrook,MA,02343,781-767-1226,781-767-1312,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holden (non-op),01340000,Public School District,Superintendent,Thomas Pandiscio,Jefferson School,1745 Main Street,Jefferson,MA,01522,508-829-1670,508-829-1680,NA
Holland,01350000,Public School District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,01518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Holliston,01360000,Public School District,Superintendent,Bradford Jackson,370 Hollis Street,,Holliston,MA,01746,508-429-0654,508-429-0653,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holyoke,01370000,Public School District,Superintendent,Sergio Paez,57 Suffolk Street,,Holyoke,MA,01040,413-534-2005,413-534-2297,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holyoke Community Charter (District),04530000,Charter District,Charter School Leader,Sonia Pope,2200 Northampton Street,,Holyoke,MA,01040,413-533-0111,413-536-5444,"K,01,02,03,04,05,06,07,08"
Hopedale,01380000,Public School District,Superintendent,Dennis Breen,25 Adin Street,,Hopedale,MA,01747,508-634-2220,508-478-1471,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hopkinton,01390000,Public School District,Superintendent,Cathy MacLeod,89 Hayden Rowe Street,,Hopkinton,MA,01748,508-417-9360,508-497-9833,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hubbardston (non-op),01400000,Public School District,Superintendent,Maureen Marshall,8 Elm Street,,Hubbardston,MA,01452,978-928-4487,--,NA
Hudson,01410000,Public School District,Superintendent,Kevin Lyons,155 Apsley Street,,Hudson,MA,01749,978-567-6100,978-567-6123,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hull,01420000,Public School District,Superintendent,Kathleen Tyrell,180 Harborview Road,,Hull,MA,02045,781-925-4400,781-925-8042,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Huntington (non-op),01430000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739,NA
Innovation Academy Charter (District),04350000,Charter District,Charter School Leader,Gregory Orpen,72 Tyng Road,,Tyngsborough,MA,01879,978-649-0432,978-649-6337,"05,06,07,08,09,10,11,12"
Institutional Schools,03700000,Public School District,Superintendent,Mary Lou Chapman,75 Pleasant Street,,Malden,MA,02148,781-338-3305,781-338-3371,"01,02,03,04,05,06,07,08,09,10,11,12"
Ipswich,01440000,Public School District,Superintendent,William Hart,1 Lord Square,,Ipswich,MA,01938,978-356-2935,978-356-0445,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
King Philip,06900000,Public School District,Superintendent,Elizabeth Zielinski,18 King Street,,Norfolk,MA,02056,508-520-7991,508-520-2044,"07,08,09,10,11,12"
Kingston,01450000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,02364,781-585-4313,781-585-2994,"K,01,02,03,04,05,06"
KIPP Academy Boston Charter School (District),04630000,Charter District,Charter School Leader,Caleb Dolan,90 High Rock St,,Lynn,MA,01902,617-238-7300,617-652-7461,"05,06"
KIPP Academy Lynn Charter (District),04290000,Charter District,Charter School Leader,Caleb Dolan,90 High Rock Street,,Lynn,MA,01902,781-598-1609,781-598-1639,"05,06,07,08,09,10,11"
Lakeville (non-op),01460000,Public School District,Superintendent,John McCarthy,98 Howland Rd,,Lakeville,MA,02347,508-923-2000,508-923-0934,NA
Lancaster (non-op),01470000,Public School District,Superintendent,Michael Wood,50 Mechanic Street,,Bolton,MA,01740,978-779-0539,978-779-6812,NA
Lanesborough,01480000,Public School District,Superintendent,Rose Ellis,1781 Cold Spring Road,,Williamstown,MA,01267,413-458-9582,413-458-2856,"K,01,02,03,04,05,06"
Lawrence,01490000,Public School District,Superintendent,Jeffrey Riley,255 Essex Street,,Lawrence,MA,01840,978-975-5900,978-722-8541,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lawrence Family Development Charter (District),04540000,Charter District,Charter School Leader,Ralph Carrero,34 West Street,,Lawrence,MA,01841,978-689-9863,978-689-8133,"K,01,02,03,04,05,06,07,08"
Lee,01500000,Public School District,Superintendent,Alfred Skrocki,480 Pleasant Street,Suite B-200,Lee,MA,01238,413-243-0276,413-243-4995,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leicester,01510000,Public School District,Superintendent,Bonnie Thibeault,1078 Main Street,,Leicester,MA,01524,508-892-7040,508-892-7043,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lenox,01520000,Public School District,Superintendent,Edward Costa,6 Walker Street,,Lenox,MA,01240,413-637-5550,413-637-5559,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leominster,01530000,Public School District,Superintendent,James Jolicoeur,24 Church Street,,Leominster,MA,01453,978-534-7700,978-534-7775,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leverett,01540000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,01344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Lexington,01550000,Public School District,Superintendent,Paul Ash,146 Maple Street,,Lexington,MA,02420,781-861-2550,781-863-5829,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leyden (non-op),01560000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,01360,413-498-2911,413-498-0045,NA
Lincoln,01570000,Public School District,Superintendent,Rebecca McFall,1 Ballfield Road,,Lincoln,MA,01773,781-259-9409,781-259-9246,"PK,K,01,02,03,04,05,06,07,08"
Lincoln-Sudbury,06950000,Public School District,Superintendent,Bella Wong,390 Lincoln Rd,,Sudbury,MA,01776,978-443-9961,978-443-8824,"09,10,11,12"
Littleton,01580000,Public School District,Superintendent,Kelly Clenchy,PO Box 1486,,Littleton,MA,01460,978-540-2500,978-486-9581,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Longmeadow,01590000,Public School District,Superintendent,Marie Doyle,535 Bliss Road,,Longmeadow,MA,01106,413-565-4200,413-565-4215,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lowell,01600000,Public School District,Superintendent,Jean Franco,43 Highland Street,,Lowell,MA,01852,978-674-4320,978-937-7609,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lowell Collegiate Charter School,35030000,Charter District,Charter School Leader,Joseph Mccleary,25 Father John Sarantos Way,,Lowell,MA,01854,978-458-1399,--,"K,01,02,03"
Lowell Community Charter Public (District),04560000,Charter District,Charter School Leader,Kathy Egmont,206 Jackson Street,,Lowell,MA,01852,978-323-0800,978-323-4600,"K,01,02,03,04,05,06"
Lowell Middlesex Academy Charter (District),04580000,Charter District,Charter School Leader,Margaret McDevitt,67 Middle St,,Lowell,MA,01852,978-656-3165,978-459-0456,"09,10,11,12"
Ludlow,01610000,Public School District,Superintendent,Todd Gazda,63 Chestnut Street,,Ludlow,MA,01056,413-583-8372,413-583-5666,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lunenburg,01620000,Public School District,Superintendent,Loxi Jo Calmes,1025 Mass Avenue,,Lunenburg,MA,01462,978-582-4100,978-582-4103,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lynn,01630000,Public School District,Superintendent,Catherine Latham,100 Bennett St,,Lynn,MA,01905,781-593-1680,781-477-7487,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lynnfield,01640000,Public School District,Superintendent,Thomas Jefferson,55 Summer Street,,Lynnfield,MA,01940,781-334-9200,781-334-9209,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ma Academy for Math and Science,04680000,Public School District,Superintendent,Michael Barney,85 Prescott Street,,Worcester,MA,01605,508-831-5859,508-831-5880,"11,12"
Malden,01650000,Public School District,Superintendent,David De Ruosi,200 Pleasant Street,,Malden,MA,02148,781-397-7204,781-397-7276,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Manchester (non-op),01660000,Public School District,Superintendent,Marcia O'Neil,36 Lincoln Street,,Manchester,MA,01944,978-526-4919,978-526-7585,NA
Manchester Essex Regional,06980000,Public School District,Superintendent,Pamela Beaudoin,PO BOX 1407,,Manchester,MA,01944,978-526-4919,978-526-7585,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
